mjd_model,mjd_observed,elapsed_seconds,residual_us,glitch_residual_us,red_noise_us,white_noise_us,phase_model_cycles,phase_true_cycles
60400.0,60399.999999998734,0.0,-109.47750959839946,-0.0,-61.030906131873316,-48.44660346652614,0.0,0.0
60400.5,60400.499999999156,43200.0,-72.97872167873055,-0.0,-64.83960379218176,-8.139117886548783,483762.5834276505,483762.5834276505
60401.0,60400.99999999924,86400.0,-65.2745117486287,-0.0,-70.5103536932805,5.2358419446517965,967525.1377419571,967525.1377419571
60401.5,60401.499999998596,129600.0,-121.60053667861857,-0.0,-106.14150553471201,-15.459031143906557,1451287.6629429194,1451287.6629429194
60402.0,60401.99999999793,172800.0,-178.2791206484381,-0.0,-183.9701446082672,5.691023959829088,1935050.159030538,1935050.159030538
60402.5,60402.49999999668,216000.0,-286.802137215499,-0.0,-265.7250812316989,-21.07705598380012,2418812.626004813,2418812.626004813
60403.0,60402.99999999604,259200.0,-342.2121950323507,-0.0,-320.74803397559964,-21.464161056751,2902575.063865743,2902575.063865743
60403.5,60403.49999999627,302400.0,-322.33887265413944,-0.0,-327.3709074899593,5.03203483581985,3386337.47261333,3386337.47261333
60404.0,60403.9999999964,345600.0,-311.4093498615163,-0.0,-318.0154303490102,6.606080487493872,3870099.852247572,3870099.852247572
60404.5,60404.49999999626,388800.0,-323.2133394793689,-0.0,-314.7572695364275,-8.456069942941395,4353862.202768471,4353862.202768471
60405.0,60404.999999996486,432000.0,-303.59296217683965,-0.0,-326.9701099301875,23.377147753347842,4837624.524176026,4837624.524176026
60405.5,60405.49999999671,475200.0,-284.38010759684585,-0.0,-314.275139454372,29.895031857526128,5321386.816470236,5321386.816470236
60406.0,60405.99999999661,518400.0,-293.1460465259451,-0.0,-294.22100285259916,1.074956326654076,5805149.079651102,5805149.079651102
60406.5,60406.49999999716,561600.0,-245.19268428944187,-0.0,-269.26863616905996,24.07595187961806,6288911.313718625,6288911.313718625
60407.0,60406.99999999742,604800.0,-223.03219350231186,-0.0,-232.19575974721624,9.16356624490439,6772673.518672803,6772673.518672803
60407.5,60407.4999999978,648000.0,-189.5699314859779,-0.0,-194.99962638323163,5.429694897253749,7256435.694513638,7256435.694513638
60408.0,60407.999999998145,691200.0,-160.45587841873532,-0.0,-169.1087319848431,8.652853566107794,7740197.841241129,7740197.841241129
60408.5,60408.49999999808,734400.0,-166.19035115010865,-0.0,-172.78003132347368,6.589680173365034,8223959.958855275,8223959.958855275
60409.0,60408.99999999758,777600.0,-209.65006458475983,-0.0,-186.00350584908313,-23.64655873567669,8707722.047356078,8707722.047356078
60409.5,60409.499999997526,820800.0,-213.51091891403874,-0.0,-206.51232732827725,-6.9985915857614645,9191484.106743535,9191484.106743535
60410.0,60409.999999997526,864000.0,-213.80938670736964,-0.0,-232.4339387180211,18.624552010651445,9675246.13701765,9675246.13701765
60410.5,60410.49999999723,907200.0,-239.2528731989073,-0.0,-228.76710466645267,-10.48576853245462,10159008.138178421,10159008.138178421
60411.0,60410.99999999714,950400.0,-247.07822720324836,-0.0,-231.4746144400235,-15.603612763224909,10642770.110225847,10642770.110225847
60411.5,60411.499999996864,993600.0,-271.0035179205851,-0.0,-236.8807366907101,-34.122781229875,11126532.05315993,11126532.05315993
60412.0,60411.99999999716,1036800.0,-244.96832429672313,-0.0,-227.44548104681874,-17.52284324990439,11610293.966980668,11610293.966980668
60412.5,60412.49999999821,1080000.0,-154.84283544285154,-0.0,-194.24127839742985,39.398442954578314,12094055.851688063,12094055.851688063
60413.0,60412.99999999854,1123200.0,-126.54837198370885,-0.0,-150.15598841158467,23.607616427875804,12577817.707282115,12577817.707282115
60413.5,60413.49999999878,1166400.0,-105.48927332645701,-0.0,-98.6800753772144,-6.809197949242624,13061579.53376282,13061579.53376282
60414.0,60413.99999999982,1209600.0,-15.623272704285244,-0.0,-48.40338401501804,32.78011131073279,13545341.331130182,13545341.331130182
